"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"cytosine",0.0107439622154852,0,0.0117779541036022,0.0115548309162106,0.106943434883839,0.103152268910404,0.0117662954898399,0.145514766761341,0.000189315880718695,0.0134318641069178,0.00771061067943567,0,0,0,0.00383538060453931,0.000431668184793242,0.0246336115023389,0.0166270104411108,0.0221710161619005,0.0193093195500689,0.0169549392920203,0.0319091598768807,0,0.0429115994679946
"deoxycarnitine",0.00926934862556123,0.0111156062094053,0.000797853794627477,0.00933371085472078,0.000388922453807129,0.00409920717721464,0.000785355153174951,0.000355202014759801,0,0,0,0,0.000463113615941169,0.000614986167326727,0.000453262510556497,0.00621058963914486,0.00773997730976369,0.00797890417122669,0.000624075491393571,0.00778471573149405,0.000369607417255355,0.000455769580259355,0.000295543795197208,0.000506679640421434
"deoxycytidine",6.33434169267806e-05,0.00362038717580496,6.32046876947465e-05,8.69032435621046e-05,9.00548498918999e-05,4.05917367105344e-05,0.000110998849125394,0.000114233237561935,0.000590815082897419,0,0,1.60844703652254e-05,9.31195093316325e-05,0.000149588088299025,1.10437002424483e-05,0.000114491787041202,0.000124634920358193,0.00229749439700639,0.000179350856896991,0.00395015227075242,0.000114126854666413,9.53933112401325e-05,1.17049285222008e-05,0.000129601410245447
"dethiobiotin",0,0,0,0,0,0,0,0,0,0,2.37191797033956e-05,0,1.70005186887667e-05,8.3757583704647e-06,0,7.2527793448862e-05,0,0,0,0,0,0,0,0
"dihexose(s)",0.00770348206528121,0.00319589869437361,0.00129685500566498,0.0128015615102768,0.000415962897064485,0.00433647871534793,0.00874382965282399,0.000519980264392089,0.00183850084747619,0.000528430770121072,0.000498595471806152,0.000208841061465348,0.000454043886752013,0.000266743945288482,0.00736189366192727,0.000752539494290118,0.00722897276351241,0.00670789255776153,0.00481667725768127,0.00463778709133782,0,0,0,0
"ferulic acid",3.39076435171133e-05,2.82789160374026e-05,0.000101929749783022,7.69979298493544e-05,1.17856447497554e-05,5.36047459444375e-06,3.25430657825134e-06,2.17812650512479e-05,7.16502074680274e-05,9.169849980353e-05,8.62842993723044e-05,4.16749213138189e-05,9.59018514942505e-05,3.09512966942738e-05,0.000121948520387342,0.000137798583728918,0.000134765933011796,0.000158579098862557,0.000151809217663611,0.000114291721002172,1.72859682226853e-05,3.41490069713172e-05,3.52239974373771e-05,5.67998115553596e-05
"glucuronolactone",7.4043115047506e-05,9.74792883211812e-06,0,2.65899012440318e-05,0.000196266610408588,0.000122706713484115,7.33615718576411e-05,0.000245342528135438,0,9.99716881986925e-06,0,1.34003732420843e-05,1.87023427589556e-05,1.79766869484651e-05,9.36946741676215e-06,2.21930693397045e-05,5.53265488784529e-06,2.41514621825003e-06,3.99548490751444e-06,9.69176342380688e-06,0.000359293772360625,2.12846617673404e-05,1.21407077456923e-05,0.000132447687809446
"glutamine",0.0821349908370601,0.178402701856629,0.102436024317162,0.0904834934697479,0.0322454930808212,0.00156665263344804,0.059043286258575,0.00303784376195092,0,0.0075956548794807,0.0188066532478469,0.0566235882147222,0.05613378200115,0.123460475884546,0.100075567727298,0.0847776179078937,0.370959350258931,0.402819988868393,0.274187251157995,0.300858583771186,0.0219835285728888,0.0439535301307084,0.00133702078126136,0.0392490676185032
"glyceraldehyde or lactic acid",0.022990088077695,0.0182419400784035,0.00155362311738831,0.0270655265403278,0.000533932785551371,9.00093050610041e-05,0.00781411873443675,0.000522297751560957,0,0.000129717315918975,0.00493405004344585,0.00858039547445976,0.0194384543712507,0.0159637439883593,0.000536001404838983,0.0257435824516999,0.0202476781884392,0.0144727740084333,0.00752901984677386,0.0291771098079298,1.48554020978499e-05,0.000116027562124055,3.18315182868069e-05,0
"guanine",0.255777953651878,0.143570245374297,0.262094751592142,0.253208422806128,0.0981031403786196,0.143900529989672,0.0897886570070816,0.139337415399189,0.142215142831624,0.162609157073921,0.313146282507505,0.110186242892994,0.182705038550188,0.169375886452656,0.191044679807823,0.163497730897771,0.0896335409147427,0.066594667476888,0.0869675780901441,0.0969162095148578,0.0792503080355682,0.142570322460415,0.140313569471804,0.128093393443332
"histamine and unresolvable, unidentified isomers",3.39794697909094e-06,1.3814156835078e-05,5.71194062342684e-06,1.45615804649925e-05,1.61840684494493e-05,3.29531024605883e-05,1.58892005877585e-06,3.66869367930866e-05,0.0935735423256118,1.70477195688546e-07,2.75686642518193e-05,0,9.76975863845718e-06,3.24431079688523e-05,8.31474098162663e-07,3.19261049978816e-05,0,0,0,0,1.60836124994692e-05,7.89125295995615e-05,0,6.72811913554966e-05
"histidinol and unresolvable, unidentified isomers",2.11967198397355e-05,2.10858398473016e-05,1.55438484057099e-05,1.55630613932612e-05,2.79970561730199e-05,2.33764997943941e-05,2.86462093340977e-05,2.43058956867355e-05,0.00515772136073021,5.69336026998415e-06,1.167105527174e-05,2.28246441143502e-05,1.64005347481567e-05,1.76882433305713e-05,2.19650398726451e-05,1.65231522444236e-05,5.98668748651013e-05,4.93952550087476e-05,3.74670532980943e-05,3.44472745274568e-05,3.2085165602401e-05,4.18926026575993e-05,1.76925871282898e-05,2.56941853696941e-05
"homovanillic acid",2.35061473034692e-06,6.16721712558493e-07,2.79316369555255e-06,2.40234314273052e-06,5.92743912625473e-06,3.56807249981295e-06,2.43895169044904e-06,5.55365721588523e-07,8.72919279732717e-06,4.65984514245021e-07,7.43217454020534e-07,0,1.63113972709172e-07,5.54889170071113e-07,1.41295691688399e-07,2.75949139326059e-07,2.91549750443757e-06,1.80070277111181e-06,3.36304721170606e-06,1.83633382506698e-06,7.24204560907115e-07,5.90701676331832e-07,6.3894617628861e-07,1.07883178272499e-06
"hypoxanthine",0.00159442831451912,0.00146530547732011,0,0,0.0756547392882016,0.0252536230053123,0.0268288832336806,0.0239630264180838,0.0247027568518086,0.0366109466262469,0,0.0869655628628158,0.00856722230757057,0.009686013511284,0.00652037165535369,0,0,0,0,0,0.0352212522083059,0,0,0.0210096301988702
"inosine",0,0,0,0,0,0,0,0,5.84542682198669e-05,4.19685158255579e-05,0,0.000102465510019796,4.29778027190927e-05,0,1.07290485220772e-06,0,0,0,0,0,1.99521429533118e-05,0.000731248824164033,0,6.38567219048301e-05
"isoleucine",0.0077341000575839,0.0182361772480494,0.000201658746991055,0.00049052128361105,0.000213583507316267,0.000180037054493289,0.000150998853141065,0.000160501366291996,0,0.00370330317770412,0.00431467926590405,0.000151366202318132,0.00127240264661763,0.00133914028593319,0.00429716987607181,0.0104881810465278,0.0191640997116498,0.0252219003175835,0.012821208083056,0.0175619101771401,0.000279142512535859,0.000438774719925168,1.400577089413e-05,0.000427339804395761
"leucine/norleucine",0.0119822822543409,0.0160486507720958,0.000428792583279978,0.00792110528101451,0.000265508834720693,0.000214369265427193,9.91942166886403e-05,0.000209894640069824,0,0.00493402980069073,0,0,0.0214656433932739,0.00121078676513087,0.000567731254045822,0.00142409589653336,0.0205222185731331,0.0278382960032667,0.0144407702660344,0.0106078622264805,0.000270699215856963,0.000654926750609602,2.31312301240921e-05,0.000702949026600206
"malonic acid",4.01064748929338e-06,1.67339143732201e-05,4.58038720740914e-06,7.13657579088365e-06,3.63809412646294e-05,1.0118301600812e-05,2.24756991369393e-05,2.0307615272517e-05,0,0,0,9.96817682889697e-06,0,0,0,0,3.65646569429949e-05,7.5164038861781e-05,5.30772973109265e-05,3.87371601076553e-05,3.33728517029034e-06,6.84354506563877e-05,2.59222056830237e-06,4.80163859896258e-05
"N-acetyl-hexosamine",8.99476839199679e-05,0.000101289765009994,0,9.96646553690397e-05,0.000204804164980272,0.000109817749740149,0.000127701735238438,0.000181403290505759,0.00115612493981097,0.00207908003735624,0.000187325586998635,6.16408893383632e-05,0.000330071240899918,0.000154644678174758,0.000235436638819159,0.0051734967441229,9.53349940174526e-05,0.00235893922378851,0.00020673959353562,0.000255536032266504,7.70906678126827e-05,0.00025519089670699,0.000130157400636684,0.000238073905987643
"N-acetyl-phenylalanine",6.6390046607249e-07,0,1.56440827451229e-06,1.59309660940117e-07,5.72757914710168e-07,1.16592076767997e-06,4.36274062484638e-07,3.06800439148132e-06,0,2.78498791547868e-06,1.89867938859165e-06,0,0,0,0,9.15424826017947e-07,0,0,0,0,1.30706121144569e-06,6.74084677395602e-07,1.77249650302864e-06,4.65462574918179e-07
"nicotinamide",0.000217924612631429,0.000100664291578896,6.27745092445031e-05,0.000233327793348982,0.000209247280559065,8.68717596747029e-05,6.8532753422286e-05,0.000170108396898657,0.000113544561374842,0.000396286240846916,0.000125015360785248,0.000374757000574344,0.000367344630588017,0.000134821687841648,0.000263571876108252,0.000287020080879994,9.68776132358706e-05,0.000107882867003731,8.73808459020095e-05,2.01028314538795e-05,5.2905004755257e-05,0.000179038216978706,0.000111518266241155,0.000225851624351526
"pantothenic acid",0.00759195951299723,6.78276236709052e-05,0.000557367488782836,0.000672358347387391,0.00143810090975098,0.0007582572529642,0.000114252663632711,0.00120278211727163,0.000500640204605842,0.000505900530956812,0.00511074712076863,2.13021139326466e-05,0.00520969803374811,2.628931240121e-05,0.000407032311735282,0.000510924485835107,0.00960272558808541,0.00625212572950955,0.00926902598679876,0.000169875538607846,0.00012258659595042,0.00110562493830138,0.000449050910353571,0.00120772515323623
