"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"pyridoxine",242473016.583333,670880336.583333,137606286.583333,231371136.583333,50581073.3541667,638563.854166667,140465.854166667,697627.854166667,0,25900298.3958333,15197918.3958333,25135338.3958333,51963046.8541667,71680616.8541667,0,32482956.8541667,634061307.291667,815380987.291667,708985787.291667,1175359787.29167,81859466.1562333,0,0,24557896.1562333
"sarcosine",98208332.2672527,6873322.76725267,22836572.2672527,6441903.76725267,215426.2202445,321851.8764445,91165.8608245,188077.5014445,0,3141247.3770955,1819460.8770955,0,5656786.729165,2615698.979165,1472527.979165,33600979.229165,208266012.245109,253866552.245109,8061080.74510917,2862054.99510917,110912.188783167,678335.688783167,167785.157583167,373086.751283167
"threonine",74083352.6705733,163173782.670573,14381612.6705733,4283237.17057333,1030404.92122333,1056400.67122333,265981.765023333,751899.046223333,0,0,0,0,5217901.48175667,3237716.48175667,1552870.48175667,3174295.48175667,276573863.336152,436069423.336152,120814843.336152,123815913.336152,1647073.81901,1960387.19401,264650.22531,1587138.94401
"thymidine",169476.032528167,1135890.39192817,90290.5481781667,302402.673228167,100555.1152725,69086.8496125,107413.9120725,139388.0917725,9995.27471500004,0,30743.462215,0,442648.6386725,519133.6386725,73429.7636725,406203.1699725,155892.176476944,486666.082676944,202456.645176944,393900.207676944,82728.3808625,79435.1152325,207739.5136725,69966.4433625
"trigonelline and unresolvable, unidentified isomers",8894.17551475,49382.12473475,1036.23020475,42223.78880475,0,0,0,0,33809.6169180833,11979.0309880833,4603.34738808333,0,94856.30603475,0,0,0,0,0,0,0,0,0,0,0
"tyrosine",53013682.74414,85742222.74414,984113.61914,3294635.99414,158862.054409333,247091.179409333,165402.741909333,126961.710609333,0,836043.60091,587753.28841,107679.97591,2985921.04882667,1482851.79882667,736460.673826667,1388992.79882667,194016388.400496,301845328.400496,112718238.400496,111278588.400496,240596.46159,459509.58659,63495.78972,371905.68039
"unidentified isomer of 3-hydroxyanthranilic acid",0,41738.3971466667,0,0,286703.341196667,392373.247396667,2095903.37239667,583135.122396667,257083.303426667,0,0,0,0,24504.04558,0,3451.52995,0,0,0,14888.1419255556,119348.26048,109201.85418,0,206985.47918
"unidentified isomer of cytidine",548993073.1875,1235444633.1875,240975713.1875,374856913.1875,137625172.172018,147830862.172018,81675222.172018,132313122.172018,64556894.6927,75897004.6927,58016014.6927,0,290139945.114567,333205065.114567,105227325.114567,211800465.114567,613571279.854111,637847759.854111,467575679.854111,1071957679.85411,173701532.92578,123171502.92578,2530126.42578,83516662.92578
"unidentified isomer of nicotine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58783046.6666667,0,0,0
"unidentified isomer of nicotinic acid",314254803.22982,44135073.22982,102315863.22982,128426133.22982,2919692.84114667,2129398.34114667,6030.96614666679,35314395.5911467,165937.730511667,3045930.07421167,2553670.82421167,103852.996111667,4570443.53320333,262071.908203333,28298401.0332033,43261481.0332033,572538091.944449,980389651.944449,967244211.944449,123055631.944449,117344.22269,869981.19139,482826.56639,887658.12889
"unidentified isomer of valine",0,1803005.46875,0,0,0,0,0,0,0,0,0,0,9943441.47916667,7889941.47916667,0,0,67164247.21875,114605037.21875,1049118.71875,50230157.21875,0,0,0,0
"uracil",35245796.2552,5034262.7552,1431868.7552,3353619.5052,831971.160143333,733311.160143333,372923.691443333,8890088.03514333,0,4846113.83138,59008618.33138,22501548.33138,5278625.59763667,39994849.0976367,936402.160636667,49762069.0976367,3639369.48957778,57304809.2395778,3756435.98957778,4361024.73957778,1052676.29101333,1226055.41601333,112444.181613333,9592401.91601333
"vanillic acid",145523.269553333,281930.410153333,157110.832053333,140593.707053333,60630.8616633333,49848.3538433333,5949.88509333334,113594.213263333,164091.95901,27013.16211,31004.59961,16209.09961,29093.5052066667,29672.0286366667,5155.31770666667,1670.85676666668,0,0,0,0,4333.63021,17482.79818,0,26359.45443
"xanthine",0,740205.375,0,0,0,0,0,0,0,0,0,56951468.6562333,27313317.2291667,0,11009207.2291667,0,0,27710723.2986111,25213533.2986111,566353.798611111,0,0,0,0
