"","id","group","Alkaloids and derivatives","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"37","shoot.EOD.Arabidopsis.4.454.3.S","shoot.Arabidopsis",0.00415197241247885,0.00686934638782685,0.0122814461804544,0.00110038844688475,0.00229820640471221,0.000146438356828509,0.0312650120134237,0.0385072183784309,0.90337997141896
"38","shoot.EOD.Arabidopsis.5.455.3.S","shoot.Arabidopsis",0.0021699674233441,0.00812962319172984,0.0426024725988648,0.00049756583988847,0.00195255535495585,0.000131700990778159,0.0474606280096727,0.0124983656832974,0.884557120907469
"39","shoot.EOD.Arabidopsis.6.456.3.S","shoot.Arabidopsis",0.00279670541236545,0.00146001390448847,0.00524927692241384,0.000637608576525938,0.00536033721260103,0.000151212891591833,0.0456540176741709,0.0833957816165765,0.855295045789266
"40","shoot.EOD.Brachy.1.433.3.S","shoot.Brachy",0.00531493714415106,0.0115973637860049,0.0103093419597438,0.000933674052768225,0.0112067409082196,0.000606734068337541,0.0241487941890692,0.196991776740344,0.738890637151361
"41","shoot.EOD.Brachy.2.434.3.S","shoot.Brachy",0.0035568309076886,0.0175101568423732,0.00821510536218427,0.000863151215120206,0.013965534605194,0.000336992278682666,0.0159391988800556,0.195343415765697,0.744269614143004
"42","shoot.EOD.Brachy.3.436.3.S","shoot.Brachy",0.00389692650498206,0.0084512984883779,0.0384383545295247,0.000546373896903804,0.00881889632077099,0.000438168773400836,0.0555977372088898,0.121315750021421,0.762496494255729
"43","shoot.EOD.Brachy.4.437.3.S","shoot.Brachy",0.00819562435511609,0.0189708280431111,0.0104971421173117,0.00116165636853622,0.00874451363794333,0.00028221887978578,0.0275188505167822,0.177553397926949,0.747075768154464
"44","shoot.EOD.Brachy.5.438.3.S","shoot.Brachy",0.00402963089362604,0.0111675082097302,0.0601936778816909,0.000464946577438146,0.00826405126748046,0.000419748773291244,0.0358115628687979,0.14985591402648,0.729792959501465
"45","shoot.EOD.Brachy.6.439.3.S","shoot.Brachy",0.00532717116742392,0.0177079296917497,0.0080208118129543,0.000917688324257835,0.010308844403669,0.000289658627730265,0.0172929107136292,0.200122739400146,0.74001224585844
"46","shoot.EOD.Medicago.1.442.3a.S","shoot.Medicago",0.0109083917913798,0.0045053843890413,0.0200967895835301,0.0015644074518292,0.015314287368444,6.12469997497314e-05,0.0339865898405246,0.325770593842712,0.587792308732789
"47","shoot.EOD.Medicago.2.442.3b.S","shoot.Medicago",0.00889073877265624,0.00315461282540617,0.0459443754671253,0.00099569445339545,0.0136617888039424,4.31921081793309e-05,0.0464520978160631,0.188173545941746,0.692683953811486
"48","shoot.EOD.Medicago.3.444.3a.S","shoot.Medicago",0.0086450506549823,0.00369444655523875,0.173842061857315,0.000698857571108912,0.0140098950697064,5.22680187704757e-05,0.0538441979606141,0.17178525658065,0.573427965731614
"49","shoot.EOD.Medicago.4.449.3a.S","shoot.Medicago",0.00916199671073865,0.00367457110761753,0.0275048101189189,0.00135876769792038,0.0183775132503572,8.88619937358686e-05,0.0352828431389847,0.277535097978164,0.627015538003563
"50","shoot.EOD.Medicago.5.449.3b.S","shoot.Medicago",0.00607754580089571,0.00335380536957268,0.108934110756593,0.00069773973206221,0.0114486345530872,7.84306879896884e-05,0.0514312795748263,0.18125894965089,0.636719503874083
"51","shoot.EON.Arabidopsis.1.451.4.S","shoot.Arabidopsis",0.00581193799709057,0.00318571742009335,0.00523181892967429,0.000676183319857626,0.00687713847098627,0.000146250044471605,0.036859414215616,0.188956773676352,0.752254765925858
"52","shoot.EON.Arabidopsis.2.452.4.S","shoot.Arabidopsis",0.00363583287682261,0.00493756765043895,0.00874724679439559,0.00104228198913515,0.00517813726194844,0.000140707254651103,0.0385904248657013,0.114632638809657,0.82309516249725
"53","shoot.EON.Arabidopsis.3.453.4.S","shoot.Arabidopsis",0.00308185774862554,0.00525797017571948,0.0248491074594121,0.000474035419834862,0.0032066201081932,0.000148188972154854,0.0614273345751447,0.0554668462612662,0.846088039279649
"54","shoot.EON.Arabidopsis.4.454.4.S","shoot.Arabidopsis",0.00552127796835914,0.00496213344696399,0.038416895781194,0.00062922569971406,0.00179104174882893,0.00015752644848745,0.0574671112848058,0.0333243222350717,0.857730465386575
"55","shoot.EON.Arabidopsis.5.455.4.S","shoot.Arabidopsis",0.00454666006549823,0.00149303044224385,0.0248979725931774,0.000345509847842361,0.0023416159725431,0.000114109293074345,0.0547702265938713,0.0363404697348079,0.875150405456941
"56","shoot.EON.Arabidopsis.6.456.4.S","shoot.Arabidopsis",0.00407842954712339,0.00215409470740424,0.00666589772491072,0.000658170472062587,0.00382733394743222,0.000146299375367342,0.036265856139403,0.0722311062624466,0.87397281182385
"57","shoot.EON.Brachy.1.433.4.S","shoot.Brachy",0.0107253892111341,0.0171944338145552,0.0131483781774089,0.000966878038310948,0.0106157987464814,0.000482148537361365,0.0382614715082021,0.116274887515421,0.792330614451125
"58","shoot.EON.Brachy.2.434.4.S","shoot.Brachy",0.0105038267615965,0.0184995566066644,0.0112248730236289,0.000722708233616428,0.00984046715226737,0.000607238258357627,0.0339800503377021,0.119598515771237,0.795022763854929
"59","shoot.EON.Brachy.3.436.4.S","shoot.Brachy",0.00407117469119431,0.0116042989568168,0.0585259456728128,0.000676522542868277,0.0082556724827477,0.000767282336696114,0.0656572593319114,0.0592374092730662,0.791204434711887
"60","shoot.EON.Brachy.5.438.4.S","shoot.Brachy",0.0042224563118804,0.0122374037301583,0.0502228793998857,0.000579315789693874,0.00760591396012628,0.000542612842558846,0.0478862939020226,0.129411356222568,0.747291767841106
"61","shoot.EON.Brachy.6.439.4.S","shoot.Brachy",0.00535912603278816,0.00959418259578441,0.04997110592899,0.000637983147625029,0.0064821813692801,0.000462612446515121,0.0594112588767383,0.0746348941491129,0.793446655453166
"62","shoot.EON.Medicago.1.442.4c.S","shoot.Medicago",0.00680728841936126,0.0061375169598002,0.0853113885313077,0.00174628300525082,0.0148552691118019,8.96596909643106e-05,0.0437541255094634,0.178776173621021,0.662522295151029
"63","shoot.EON.Medicago.2.444.4b.S","shoot.Medicago",0.00382509529685023,0.00548796417864981,0.172273419273408,0.00109387605357265,0.0165947455823205,6.15233363185944e-05,0.0243884180844973,0.144545445537525,0.631729512656859
"64","shoot.EON.Medicago.3.444.4c.S","shoot.Medicago",0.00751780564361102,0.00528016675696267,0.126073856750403,0.00137425204440751,0.012064797139086,4.78527510771772e-05,0.0417359457151517,0.197387025585188,0.608518297614113
"65","shoot.EON.Medicago.4.449.4c.S","shoot.Medicago",0.0149604588178941,0.00830066213874336,0.0209670419109936,0.00333474133259327,0.0207676723901509,6.83664121527456e-05,0.0398260558280523,0.282424012511862,0.609350988657558
