function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
RXN-12126	1033.36	1189.58	1266.0500000000002	1556.62	1644.39	815.76	1423.4499999999998	985.92	832.06	978.37	1950.38	748.5	907.71	830.73	1022.81	1401.98	1305.08	1290.5100000000002
RXN-12127	1033.36	1189.58	1266.0500000000002	1556.62	1644.39	815.76	1423.4499999999998	985.92	832.06	978.37	1950.38	748.5	907.71	830.73	1022.81	1401.98	1305.08	1290.5100000000002
RXN-12128	1033.36	1189.58	1266.0500000000002	1556.62	1644.39	815.76	1423.4499999999998	985.92	832.06	978.37	1950.38	748.5	907.71	830.73	1022.81	1401.98	1305.08	1290.5100000000002
RXN-12130	1289.51	1534.82	1644.47	1185.19	1498.3000000000002	1492.7799999999995	1627.06	1549.93	1966.34	1671.5700000000002	928.96	1797.17	1430.83	1874.74	1549.8	1372.15	1577.13	1856.03
RXN-12144	0.5	0.0	0.5	3.0	1.5	0.0	1.0	1.5	1.0	1.5	1.5	0.0	0.0	0.0	0.0	1.5	1.5	0.5
RXN-12148	34.0	2.0	14.0	5.0	1.0	4.0	1.0	2.0	1.0	6.0	10.0	2.0	0.0	53.0	3.0	0.0	40.0	1.0
RXN-12158	234.48	159.68	241.92	200.5	142.07	272.87	141.54000000000002	232.93	239.95	172.82	172.21	311.05	321.13	338.94	334.94	165.77	168.47000000000003	157.55
RXN-12160	30455.0	24825.06	26704.13	23704.99	28604.12	34001.05	27917.74	29867.89	30327.72	29455.29	26211.11	32833.84	33610.12	41035.01	34002.49	23204.74	21768.31	24777.32
RXN-12164	1670.61	3009.57	1664.0499999999995	5597.26	946.68	450.4	1153.03	964.51	594.74	1103.52	1551.11	1349.03	1962.05	881.65	1468.76	5132.24	2424.99	2903.6800000000003
RXN-12171	23712.58	23334.8	26895.0	26078.9	29146.94	29732.74	28584.59	27710.23	28633.58	27054.21	26602.2	26288.4	25756.65	25820.2	24811.07	26689.77	24880.1	24137.63
RXN-12173	8926.01	6258.990000000001	4736.0	4031.61	6631.87	7495.02	4573.34	6330.960000000001	7208.01	5765.77	5528.82	9513.23	9555.46	11876.83	8642.779999999999	3780.42	3129.8700000000003	7014.24
RXN-12174	5197.29	5061.98	4219.56	3728.96	4482.8	5660.82	3668.67	4517.9	5753.35	4166.77	4509.33	8313.060000000001	8230.0	8109.040000000001	5715.120000000001	3766.57	3503.08	4967.65
RXN-12177	2892.87	2567.84	2367.27	2384.0	3204.51	2496.0199999999995	2788.09	2590.03	2745.03	2188.23	4037.51	3574.98	3976.07	2768.3900000000003	2981.63	2539.53	2450.93	2470.53
RXN-12181	242.0	193.08	667.34	244.42	159.42000000000002	166.32999999999998	235.33	268.92	211.83	192.08	146.5	197.25	301.25	279.75	492.42	159.0	396.17	239.25
RXN-12184	119898.28	113687.06	123715.87	113218.73	146150.56	144818.58999999997	136464.41	140793.2	137924.69	138539.43	141434.76	135391.0	135077.59	130680.74	130340.59	117653.93	121870.38	123598.9
RXN-12193	15759.39	15669.59	17615.07	16248.21	20581.48	20768.4	19275.33	18920.21	18507.25	18389.26	17774.510000000002	16286.33	16151.62	16108.06	15436.320000000002	17441.49	16224.07	15880.809999999998
RXN-12195	1.33	3.0	1.17	2.5	0.17	0.0	2.67	2.67	0.5	2.67	3.5	0.33	5.67	0.0	1.33	6.33	1.0	3.33
RXN-12196	1.33	3.0	1.17	2.5	0.17	0.0	2.67	2.67	0.5	2.67	3.5	0.33	5.67	0.0	1.33	6.33	1.0	3.33
RXN-12219	28.5	19.5	37.0	43.0	31.5	25.0	34.0	55.5	27.0	33.0	25.0	12.0	22.0	15.5	23.5	39.0	22.0	29.5
RXN-12223	179.5	361.0	186.0	702.5	74.0	32.5	103.0	67.5	58.0	96.0	168.0	64.5	88.0	71.5	125.5	611.5	269.0	361.0
RXN-1223	1448.5	1590.9899999999998	2993.34	2794.17	2899.67	2938.0	2364.99	2182.67	3429.0	1751.83	1589.83	2274.0	2070.67	2839.66	1947.67	2432.5	2554.0	1956.49
RXN-12230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.67	0.0	0.0	67.42	0.0	0.0
RXN-12237	3960.88	3877.83	4932.549999999999	4132.93	6938.24	5668.04	6418.96	6018.68	5310.32	5503.37	7544.86	4527.47	4936.56	3327.23	4031.05	4391.02	4785.11	4538.75
RXN-12238	838.3299999999999	1051.15	941.45	858.74	767.1400000000001	797.42	1084.78	1392.14	875.08	849.0999999999999	672.52	603.3299999999999	703.73	1051.48	842.3199999999999	956.23	792.0	834.29
RXN-12239	74.01	61.49	64.11	68.09	42.15	61.08	78.11	61.15	77.08	43.11	81.19	96.0	92.08	118.15	85.0	85.9	101.33	54.29
RXN-12241	2325.1	2701.9	3042.3	3330.35	2155.45	2699.2	3262.7	3033.2	2933.45	3500.65	2127.7	2483.45	2346.75	2238.1	2454.45	2945.75	2604.45	2399.15
RXN-12242	1.0	8.16	524.51	49.67	4.17	7.16	3.83	121.67	43.83	45.66	11.83	0.33	1.67	13.33	12.84	50.0	308.5	19.83
RXN-12247	11540.77	12184.88	11627.259999999998	11782.52	16678.8	16070.18	13512.63	13773.73	14034.78	14246.89	14449.95	13446.88	13997.01	12204.53	11721.2	11664.45	13593.59	13951.66
RXN-12252	5087.52	5597.48	5536.98	6320.110000000001	6152.63	5217.67	5668.799999999999	6193.49	5519.93	5483.48	6521.5	5927.23	5356.45	4909.219999999999	5237.1900000000005	6188.73	6077.49	5654.25
RXN-12268	6.0	9.12	6.62	8.0	1.5	1.88	1.5	3.0	1.62	11.5	3.5	2.38	0.5	2.5	5.25	47.88	5.5	19.5
RXN-12280	12.0	21.0	8.0	12.0	10.0	16.0	49.0	13.0	3.0	34.0	7.0	13.0	6.0	3.0	11.0	22.0	21.0	18.0
RXN-12302	493.71	901.07	494.79	1678.97	280.04	155.86	353.95000000000005	245.95	168.22	350.21	775.98	270.49	337.92	261.15	463.34	1718.25	686.44	960.74
