"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"betaine",0.133887395274579,0.241459959295384,0,0,0,0.0850016129762939,0,0,0.206289338866915,0.167829389637775,0,0,0,0.135506761240784,0,0,0.270003640133147,0.153523650477933,0.00906948718710239,0.122543351741919,0,0.0951596729297938,0,0
"bis(3-aminopropyl)amine",0,0,0,0,0.000299163970746509,0.00792841863378183,0.000249793607658652,0.0482142165861,0,0,0,0.0530479103013515,0,0,0,0.0581248019184334,0.004010906363391,0.00199234074092085,0,0,0.0125976379307126,0,0,0
"caffeic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34622830579931e-05,0,0,0
"carnitine",0.00357990743274331,0.00318243813446605,0,0,0.000179755822189309,4.26946359959641e-05,0,1.50648596825819e-05,0.00724701866913211,0.000184747579050632,0.000265806918595898,0.000310967333630782,0.000283312425796683,8.41740211068376e-05,0,0,0.000427697783237312,0.00436375684903561,0.00947552709640434,0.000191282746949605,0.000291938289900733,0.000111197294993824,0.000178341476978795,0
"choline o-sulfuric acid",0,0,0,0,0,4.31604128655258e-06,4.50664587895504e-05,0,0,6.36102166068185e-07,0.00014678058362626,8.36082609961115e-05,0,0,0,0,0,0,0,0,0,2.05063406665967e-05,0,7.77981600852458e-05
"cytosine",0.0053845775202876,0.00508488470854257,0,0,0,0,0,0,0.010601992239139,0.00194422125052059,0,0,0.00309359031957817,0,0,0,0.00833666934553672,0.0133666686696737,0.00918396498263254,0.00518769434413854,0,0.00298430206083339,0,0
"deoxycarnitine",6.72245394937126e-06,7.17962026255007e-06,1.27715255956113e-05,0,9.04430970849655e-06,8.69007896805344e-06,5.44501272294495e-05,5.42112992939297e-05,0,0,0,0,1.28187577183868e-05,6.92861813101619e-06,2.43607910127105e-05,1.06856593761111e-05,2.29019168334836e-05,2.77363808660139e-05,4.36408099925576e-05,3.52536657496001e-05,5.63194377224315e-06,6.26896943662773e-06,9.15380285651921e-05,3.0467538561021e-05
"deoxycytidine",0.00824649761598939,0.0239031556470063,0.000996166945798353,0.000625042441035513,0.000102295141156838,5.73081700415616e-05,5.95942863660127e-05,0.000296062682833582,0.00334567362740335,0.0226699080848709,0.000117794555469901,0.000539311835623619,0.0160306003813113,0.0193412475088993,0.00135926443617298,0.000977533011772643,0.00957382475904027,0.00841726514793768,0.000325155312137405,0.00684611570477516,0.000208030787894045,0.000259245053837637,0.00543215799042443,0.000257946206465227
"dethiobiotin",0.000137998539902352,0.00160907229472959,9.01355673088244e-05,0.00247264135827912,9.88563622826913e-05,2.82285313633502e-05,0.000491567892700424,0.000496086858380069,1.98391847292445e-05,1.13600860295436e-07,0,2.7827410206919e-05,0.0013402683122783,0.000188596976749487,7.09595368586131e-05,0.000167939570641862,0.00289394083779279,0.0195385556778636,0,0.00797515259981726,2.27414570311478e-05,1.36469006574564e-05,0.000545987623831146,0.000193300605656011
"dihexose(s)",0.00481119476599213,0.00473120333681677,0.000333061876566768,0.0437934475150156,0.000492317801347082,0.0315822099893233,0,0.000215859332073451,0.0082254705132958,0.00689490578718584,0.00102730383441401,0.00412774585409554,0.000251580865849765,0.0109449722179201,0.00194713062739321,0.0216131278244029,0.00442289696237995,0,0,0,0,0.0106024766055688,0,0
"ferulic acid",0.000309679787986993,0.000555411259976961,0.00130995460248359,0.00111407184601871,8.01997449772625e-06,6.86683635111997e-06,4.42909614918898e-05,3.94953421718595e-05,3.81319833087571e-06,2.94687605280978e-06,0,5.32916265903896e-05,1.25110261307868e-05,1.38322568088961e-05,0.000194994557177072,0.0010127943644363,2.26691180656017e-05,6.57269721670964e-05,1.06505953895858e-05,0.000126972188730803,2.3097424875769e-05,5.63646044216271e-06,1.28545391155993e-05,0.000111901289101971
"glucuronolactone",0,3.71120417213241e-06,1.69182236825327e-05,0,1.39433478549217e-05,4.10983443761099e-06,0,4.60858550149966e-05,6.18057172223063e-06,2.47926343843318e-05,0,1.56086444027327e-05,1.95998387787923e-05,2.52113041294827e-05,4.48884817072846e-05,8.93171631605146e-07,0,0,1.37910592107557e-06,0,5.20593105808947e-06,3.31074530382455e-05,0.00013913958233981,4.09510197276038e-05
"glutamine",0.00237999745403735,0.00565103338303323,2.45454872756241e-05,0.000140370102313861,0.00278760406811062,0.027719260966489,4.89889349179295e-05,0.000211828110311861,0.0164934206534547,0.0258945323097424,0,0,0.0106637142775935,0.0178103587444858,0.000944092823818296,0.000413264396832605,9.50953118853628e-05,0.00136136661699973,0.000109710976805308,0.0074480232214467,0.0267363848955815,0.00612062725112353,0.00972909230239911,0.000267713081655606
"glyceraldehyde or lactic acid",0,1.02395365442664e-05,0,0,0,0,0,0,0,0.00109023630721593,0,0,0,0.000636778581912164,0,0,0,0,0,0,0,0,0,0
"guanine",0.141267380248713,0.0948076029710286,0.33887882793724,0.377877964043279,0.159542629405599,0.0837794606482999,0.530478129313741,0.246577590516155,0.101198925396045,0.151445730147708,0.46035428299707,0.121237265720183,0.140810879663824,0.132005881047287,0.139097174726307,0.121128121172035,0.0660356592381421,0.0726570236128185,0.20209702571602,0.140807009739281,0.141885093291408,0.165485286846383,0.237610016683579,0.614535992035894
"histamine and unresolvable, unidentified isomers",4.85255063483579e-05,9.57165269234809e-05,9.20375812439702e-05,7.86280656882087e-05,6.26016122589438e-05,9.58441246340166e-05,0.000860758666732956,0.00018709623770792,6.29503208718963e-05,6.22599973919632e-05,0.000175558400065474,0.000111832127170527,5.27159898324045e-05,0.000125179988029427,0.000133371435202113,0.000342857501180123,0,0,0,0,0.000121006545902306,0.000101251551497545,0.000350806883618515,0.000339234404533475
