"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"5-methylcytosine",6.39159355092946e-05,7.34558021382385e-05,7.25158779064987e-05,7.58252139388189e-05,0.000101934649603995,0.000732592262426726,0.000872898491686455,0.00117970693654244,0.00143419205230051,0.000354210235460152,0.000255551484364973,0.00075394037497864,0.000404474943949997,0.000956936977999569,0.000714034176891769
"5-oxo-proline",0,0,0,0,0.00947638068750795,0.000728952272885494,0.000724362490937867,0.000661729071417498,0.00114977681455646,0.00114061283421855,0.000763558497741032,0.000747545520492233,0.00033694195763223,0.00108429863176478,0.00143524844944569
"5-valerolactone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-methylthioadenosine",0.0014262927436717,0.00185182903810527,0.000864219778168628,0.00210571139288567,0.0168389438400538,0,0,0.00325805853532601,0.000860587360387306,0,0.00123325894433887,0.00100050501950541,0.000537997547473324,0.00130334791758922,0.0018346592741012
"abscisic acid and/or isomers",0,0,0,0,0.0011708222707904,0,0,0,0,0,0,0,0,0,0
"adenine",0.0939534412571457,0.159631165529225,0.0826598569108582,0.155941906502512,0.112066218664094,0.463067687650663,0.517221041777525,0.444121982258576,0.318374686464222,0.370743349715604,0.13962883389483,0.0936536918328539,0.0618130575642472,0.157727899365303,0.152433893911977
"adenosine",0.00569056314113235,0.0069142320882396,0.00676681434276912,0.0066682206336733,0.0302097299197498,0.0251840282873353,0.0100485689154318,0.0276741037833789,0.0208896726269615,0.0175915640831128,0.00283645111574764,0,0.00057028806615464,0.00217812387297826,0.00270630299654706
"alanine",0.00177579394602345,0.0010008665050346,0.000692117888461142,0.000778954957460397,0,0,0,0,0,0,0.00430307240857348,0.00375199457010164,0.00171968846881553,0.00803346627206846,0.00212167266361235
"allantoin",7.79446086982242e-05,8.72935988223245e-05,5.11855162674396e-05,6.66521510069534e-05,8.68933343901985e-05,0.00167404050585499,0.00419133765291342,0.00234337624610642,0.00342106018262268,0.00251444478401959,0.00149716936018795,0.00292840943725859,0.000642187513497934,0.00243410916222904,0.00190986851009765
"arginine",0.00379058972872883,0.00512816918158898,0.00146069261779202,0.00532337146151179,0.0416409783215487,0.00555406421854073,0.00507850533489173,0.00248395577536786,0.00898752445755567,0.0058221386089598,0.0165889716113034,0.0023028886479304,0.00211028624045745,0.00298144257297592,0.0121260058674313
"asparagine",0.00326167610727397,0.00317347190464643,0.0032700167920845,0.00253968129215769,1.19372375281386e-05,0.00129677392825515,0.00356075422774278,0.000932842500897999,0.00176506274771541,0.00230416124487182,0.0089675530362628,0.00374782157020662,0.00222608321818084,0.0126270320227143,0.010514758775288
"aspartic acid and/or isomers",0.00536336120894788,0.00383571632384848,0.00455288484174054,0.00574147326855811,0,0.0087266712840699,0.0127752702671681,0.00593400162968261,0.00207021482099956,0.0134090583641835,0.000647076190783774,0.000155764315714482,0.000172268335889928,0.000207950994043633,0.000658796782832806
"azelaic acid",0.000698414670165537,0.000520286847519925,0.000425569728685729,0.000856662047665279,0.00227864745495224,0.00335682156707106,0.00516552081789587,0.00309670066607646,0.0072598103869488,0.00516723612045762,0.00312990764005047,0.016949553753985,0.0022880574461802,0.00520799180681793,0.0119847285212943
"betaine and/or isomers",0.265061513959925,0.205860348197544,0.162494137206966,0.10317574709282,0.42061398089039,0.134270251385302,0.0225540197646639,0.20183680279541,0.228430224633093,0,0.305821330486733,0.335274835176143,0.147632811123715,0.328082240583182,0.367391800189569
"biotin",7.7689186416631e-06,0,0,0,0.0014067863139589,0,0,0,0,0,1.19184011240668e-06,0,2.51588188904601e-06,3.82691758693369e-06,0
"bis(3-aminopropyl)amine",0,0.000712273165388009,0,0,0.00158535630219482,0,0,0,0,0,0,0.000236107590892282,0.000635934463494349,0.00044960464043837,0
"C6 sugar alcohol peak 1 (ex. sorbitol)",0.00521836472479581,0.00435199009546727,0.00534173547012542,0.00578156475107449,0.000327903636825939,0.00222001743380355,0.00384010205162555,0.00151116373288795,0.00157902668728316,0.00595832651029636,0.000393760366029849,0.00221743313795434,0.000322677855046724,0.000651844239249611,0.00160968654028582
